、	2966
の	2763
。	2507
を	2292
は	1526
に	1475
ます	1414
し	1226
が	1172
で	960
する	787
て	786
と	779
データ	572
表	565
た	499
「	484
」	444
こと	407
（	301
）	298
も	291
さ	287
な	285
です	278
ため	277
れ	267
場合	261
ある	254
い	228
や	223
キー	214
データベース	213
あり	209
番号	203
1	198
性	198
化	196
から	192
的	187
この	185
ない	177
使用	177
処理	173
正規	173
実行	172
演算	170
行	166
属性	165
でき	157
結合	154
など	153
か	152
なり	152
更新	152
,	151
トランザクション	151
として	148
いる	146
よう	143
2	142
作成	142
結果	141
列	137
システム	135
ロック	134
文	132
関数	125
もの	123
従属	123
データモデル	122
句	120
値	115
顧客	115
ませ	113
ん	113
注文	113
第	113
形	111
DBMS	101
という	99
に対して	99
商品	99
T	95
関係	94
SQL	91
指定	91
分析	90
必要	90
また	89
対象	88
ブロック	86
口座	84
図	84
概念	84
非	84
へ	81
エンティティ	81
構造	81
なる	80
存在	80
例	79
設計	79
制約	78
比較	78
主	77
定義	77
情報	77
3	76
示し	76
条件	75
すべて	74
可能	74
により	73
SELECT	72
タイプ	71
ログ	71
中	71
候補	71
索引	71
上	69
操作	69
複数	68
_	67
できる	67
れる	67
内	67
方式	67
同じ	66
発生	66
一つ	65
以下	65
名	65
格納	65
外部	64
{	63
学習	63
その	62
時	62
管理	62
多	61
まで	59
問合せ	59
業務	59
行う	59
記述	59
について	58
コミット	58
NULL	57
・	56
→	54
物理	53
論理	53
PROD	52
ば	52
円	52
間	52
}	51
①	51
バッファ	51
副	51
ID	50
者	49
重複	49
000	48
②	48
いい	48
二つ	48
表現	47
子	46
対	46
用い	46
部分	46
だけ	45
手順	45
要件	45
なく	44
アプローチ	44
なお	43
によって	43
られ	43
作業	43
機能	43
-	42
ユーザ	42
太郎	42
後	42
技術	42
構成	42
部署	42
全体	41
権限	41
障害	41
D	40
ビュー	40
分類	40
方法	40
開発	40
際	40
参照	39
預金	39
プロセス	38
一般	38
組織	38
のみ	37
もと	37
スペシャリスト	37
スーパー	37
問題	37
実現	37
左辺	37
待ち	37
表記	37
R	36
クラス	36
確認	36
③	35
オブジェクト	35
サブ	35
スキーマ	35
単位	35
関連	35
E	34
アクセス	34
リレーションシップ	34
標準	34
かけ	33
なっ	33
：	33
B	32
ので	32
チェックポイント	32
ディスク	32
デッドロック	32
一意	32
企業	32
前	32
右辺	32
検索	32
種類	32
設定	32
販売	32
BY	31
INSERT	31
Y	31
に関する	31
ビジネス	31
利用	31
実施	31
講師	31
領域	31
額	31
X	30
”	30
ロール	30
制御	30
書籍	30
行わ	30
ここ	29
他	29
側	29
削除	29
抽出	29
どう	28
より	28
個人	28
先	28
共通	28
学区	28
学生	28
繰り返し	28
行い	28
読み取り	28
選択	28
う	27
ごと	27
せ	27
どの	27
中心	27
回復	27
変更	27
組	27
順	27
(	26
おく	26
これ	26
アーキテクチャ	26
スコア	26
内部	26
取り出す	26
各	26
決定	26
活用	26
範囲	26
計画	26
詳細	26
あらわす	25
それぞれ	25
まし	25
ファイル	25
ルール	25
以外	25
占有	25
取得	25
いき	24
いく	24
一	24
分解	24
暗号	24
検証	24
次に	24
社員	24
科目	24
運用	24
による	23
プロジェクト	23
内容	23
取り出し	23
名称	23
完全	23
対応	23
担当	23
書式	23
法人	23
物	23
集合	23
4	22
UPDATE	22
せる	22
に対する	22
サイズ	22
一方	22
水準	22
法	22
異なり	22
装置	22
親	22
項目	22
しかし	21
付与	21
以上	21
出力	21
向上	21
実装	21
性能	21
書き込み	21
特定	21
直積	21
要素	21
試験	21
配置	21
集計	21
+	20
したがって	20
とき	20
カーソル	20
コード	20
ビット	20
モデル	20
共有	20
図示	20
成果	20
手法	20
推移	20
提供	20
明細	20
時点	20
直列	20
矢印	20
TREE	19
θ	19
④	19
おこない	19
における	19
よび	19
ソフトウェア	19
テーマ	19
一部	19
件	19
和	19
多値	19
所属	19
数量	19
整合	19
段階	19
状態	19
要求	19
述語	19
追加	19
連結	19
開始	19
10	18
CAT	18
GROUP	18
WHERE	18
いずれ	18
ましょ	18
まず	18
わかり	18
出席	18
別	18
型	18
実体	18
書	18
残し	18
満たす	18
目的	18
系	18
終了	18
組み合わせ	18
UNION	17
これら	17
といった	17
アプリケーション	17
グループ	17
具体	17
出題	17
呼び	17
変換	17
多く	17
射影	17
理解	17
異なる	17
記憶	17
評価	17
連関	17
重要	17
)	16
101	16
30	16
A	16
PRODUCTS	16
○	16
あらわし	16
および	16
その後	16
または	16
コト	16
プロトコル	16
ロギング	16
排他	16
排除	16
未	16
田中	16
相関	16
量	16
集約	16
OLAP	15
さらに	15
そして	15
もしくは	15
セキュリティ	15
ボイス・コッド	15
マップ	15
仕組み	15
例えば	15
学年	15
差	15
意味	15
指向	15
整理	15
文字	15
書き	15
検討	15
洗い出し	15
流れ	15
相当	15
確定	15
等	15
花子	15
説明	15
通常	15
適用	15
AND	14
CREATE	14
HAVING	14
ORDER	14
key	14
において	14
データウェアハウス	14
ビッグ	14
モデリング	14
モノ	14
三つ	14
体系	14
動作	14
同時	14
名前	14
含ま	14
回	14
実績	14
度	14
復帰	14
持つ	14
新た	14
筆記用具	14
箇所	14
総合	14
自明	14
自然	14
蓄積	14
規約	14
隔離	14
順番	14
CDM	13
DELETE	13
Z	13
き	13
さし	13
しまう	13
ず	13
なけれ	13
シナリオ	13
ドメイン	13
一連	13
両方	13
使い	13
同時に	13
学籍	13
必ず	13
文書	13
日	13
時刻	13
次	13
独立	13
知識	13
積	13
行っ	13
製品	13
複合	13
重度	13
高橋	13
.	12
40	12
=	12
C	12
GRANT	12
しまい	12
たり	12
とおり	12
イメージ	12
グラフ	12
レコード	12
レベル	12
一致	12
以降	12
共存	12
分割	12
受注	12
右	12
左	12
式	12
得	12
応じ	12
挿入	12
用語	12
規則	12
言語	12
記録	12
高い	12
高速	12
/	11
CRUD	11
CUST	11
すれ	11
つけ	11
なら	11
よく	11
サーバ	11
ページ	11
マイニング	11
代表	11
伝票	11
使う	11
切り出し	11
同様	11
商	11
四つ	11
多次元	11
定め	11
帳票	11
得点	11
既存	11
明確	11
期間	11
次元	11
残す	11
母親	11
注意	11
画面	11
発行	11
発見	11
相	11
票	11
維持	11
補助	11
記号	11
読み取る	11
部	11
﻿	11
JIS	10
PRICE	10
READ	10
TABLE	10
−	10
おこなう	10
おり	10
すでに	10
どちら	10
ほど	10
ケース	10
ツール	10
トップダウン	10
ファクト	10
プログラム	10
ライフサイクル	10
ロバストネス	10
上記	10
元	10
再	10
初期	10
固定	10
基	10
完了	10
容量	10
平均	10
役割	10
方	10
時間	10
様々	10
洗い出す	10
照会	10
特性	10
率	10
用いる	10
競合	10
複雑	10
解放	10
課題	10
講義	10
進め	10
5	9
ACID	9
COMMIT	9
EXISTS	9
FROM	9
JOIN	9
OR	9
ORDERS	9
あれ	9
うち	9
それ	9
たら	9
だ	9
まだ	9
まとめ	9
もつ	9
アナリシス	9
ストアドプロシージャ	9
ノード	9
バック	9
ヒット	9
フェーズ	9
マテリアライズドビュー	9
メモリー	9
不完全	9
付加	9
代数	9
価格	9
保守	9
保証	9
割り当て	9
区分	9
含む	9
失敗	9
実際	9
容易	9
年	9
形式	9
把握	9
支援	9
数値	9
新	9
本	9
構築	9
特徴	9
省略	9
等号	9
粒	9
考え	9
考慮	9
膨大	9
自己	9
記載	9
該当	9
調整	9
102	8
ALL	8
DFD	8
EA	8
EXCEPT	8
UML	8
}。	8
×	8
②」	8
あらかじめ	8
いう	8
かならず	8
でも	8
とも	8
なくなる	8
ほか	8
ダウン	8
ネットワーク	8
ファントムリード	8
ボトムアップ	8
並び	8
並列	8
主要	8
人	8
代理	8
会社	8
低下	8
何	8
保持	8
判別	8
効率	8
動的	8
呼ば	8
固有	8
埋込み	8
基本	8
売上	8
変数	8
対策	8
影響	8
待機	8
扱い	8
損失	8
数	8
最も	8
最後	8
最終	8
残高	8
氏名	8
満たさ	8
点	8
環境	8
監査	8
示す	8
章	8
簡単	8
総称	8
行え	8
製造	8
見	8
親言語	8
読み取っ	8
読み込ん	8
調達	8
通信	8
過去	8
違い	8
階層	8
頻度	8
11	7
20	7
501	7
ABC	7
CASE	7
DISTINCT	7
INTERSECT	7
ISO	7
NAME	7
RAID	7
⑤	7
おき	7
したがっ	7
つ	7
つける	7
まとめる	7
キャッシュ	7
グルーピング	7
グレード	7
タイミング	7
ダーティーリード	7
テーブル	7
データディクショナリ	7
ノンリピータブルリード	7
ポインタ	7
ロールバック	7
一貫	7
与え	7
他方	7
代用	7
企画	7
何らかの	7
個々	7
入出力	7
出庫	7
判定	7
利害	7
前提	7
前進	7
加算	7
印	7
各行	7
同	7
同士	7
基準	7
